"","AT2","Airway Epithelium","Alveolar Macrophages","Capillary cells","Dendritic cells","Fibroblasts and Protector cells","Granulocytes","Innate Lymphoid cells","Interstitial Macrophages","non classical Monocytes","classical Monocytes","Monocytes and M2 Macrophages","NKT cells","Plasma B cells","T cells","Vascular Endothelial cells"
"AT2",0.020612323161264,-0.000753760020159359,-0.00404843181962106,0.0246513720911609,0.012019438223074,0.00239513292415661,-0.00427349126556194,-0.00525251930939357,0.0101420573344663,-0.0088307623769128,-0.0144285430056498,0.00445286575243638,0.00154145793890345,0.000159954658601718,0.0380180849016327,-0.005413342894577
"Airway Epithelium",-0.0609378678904511,-0.000335954520530623,-0.0688062239339837,-0.0843791179352427,-0.0393100837762761,-0.0416985261388444,-0.0359012838981858,-0.0180258023922,-0.0838011760392132,-0.11301031522222,-0.0747401840857707,-0.0455881622772826,-0.0532081529349528,-0.0743935796844794,-0.107565601120615,-0.00840690172206239
"Alveolar Macrophages",-0.0483739851461663,-0.00224945308350185,-0.046466684057643,-0.067993292139229,-0.0307564188223488,-0.0277836951920976,-0.0190592004626535,-0.0126434938671827,-0.0569944823676767,-0.0661202796451348,-0.0473430231592867,-0.03136325801627,-0.0570729479772946,-0.0654078510835267,-0.105838570848977,-0.00635055209121086
"Capillary cells",0.0764124320658635,-0.00152273489509688,0.0436199369493216,0.0931226013623556,0.0420186097362301,0.00714057752655358,0.0251624738087873,-0.00638464547108158,0.0388618795762313,0.0748471011954659,0.0218310047938581,0.0132547137599492,0.0849713873017087,0.0453480918752248,0.162009890373983,-0.00526583078135818
"Dendritic cells",0.047045581214463,0,0.0128166512328509,0.0574823579335354,0.0300886425214224,0.00220862155785958,0.00807045504038516,0.000985777263197526,0.0289577321528923,0.0359059911871354,0.0145275901680388,0.00899988832593939,0.043861182868823,0.0343739551208053,0.0948560451902793,-1.08502648709049e-05
"Fibroblasts and Protector cells",0.237696885352,0.0122095032491878,0.0443225919852945,0.305564653963781,0.160585828320037,-0.00346185175824357,0.0402306896709191,0.00669891730457892,0.128414741010438,0.164029350919377,0.0313846180686938,0.039608859104146,0.289336778869481,0.169149527412038,0.538583077758647,0.023690600731037
"Granulocytes",0.0881865228374278,0.013023393814081,0.0262689412499267,0.257507782390306,0.00416123944189083,0.0627573402838218,0.0169613197436048,0.119191065154657,0.0126367966246177,0.0304964412400662,0.0226260749832635,0.00682345894449846,0.2640016240972,0.208629378901685,0.281280309400298,0.121765563837188
"Innate Lymphoid cells",0.0116096125947626,0.00536792251408093,0.0192512075588673,0.0391699210502379,0.00498601687949128,0.0188252997471394,0.0027231889804411,0.0176253678865409,0.0138132441449792,0.0169787594297273,0.0152865248420063,0.00454314567780442,0.0275175209130509,0.0312865738416271,0.0387390083509348,0.0148602305074606
"Interstitial Macrophages",0.296992200752198,0,0.209084546545911,0.35544903289129,0.188593137974032,0.13721058304891,0.0495413092457672,0.08378486316458,0.35538963100642,0.386893347426571,0.278605837879983,0.218372066787925,0.353359564973534,0.305083952992724,0.652269586780609,0.0113103363790074
"non classical Monocytes",0.0500963109695538,0.00281019673763725,0.10637211765826,0.0961436974242362,0.0354042284630116,0.0628562695857244,0.0572327070334497,0.0270859806968763,0.0792439993473398,0.118348148771798,0.0910995443287429,0.051471267389981,0.0331100962446356,0.0700399903499476,0.0836082643887577,0.038002150425465
"classical Monocytes",0.0580833244875118,0.00250331584864329,0.0702850685951192,0.0848581181524242,0.0465435997316249,0.020469016827097,0.0288243067055711,0.00917120554805066,0.065479986956006,0.0596538482584694,0.0588943312585505,0.0366077980395796,0.0507849727483224,0.0651888293491322,0.117890332472048,0.0152320469367118
"Monocytes and M2 Macrophages",0.199570267607422,0,0.0987087915913914,0.194082584611896,0.109687887631156,0.0543893403952381,0.0214105670730985,0.0446747943363659,0.186200796348053,0.196409063349275,0.138566669249349,0.134059484738963,0.186151023286432,0.154564526235005,0.393625541597111,0
"NKT cells",0.120116934424023,0.0113219340389325,0.0693651941543685,0.216244102458118,0.0745671907951063,0.0366953918279258,0.036210654398712,0.0430105764837607,0.0724259878929129,0.101367799760554,0.0642070889897732,0.0166632909976131,0.190825920466598,0.154000778272794,0.287617545349369,0.0490314837885206
"Plasma B cells",-0.116363843625808,-0.00354382960938187,-0.0664566926085286,-0.167741484220932,-0.0846641091481769,-0.0300966851178653,-0.0301940566536298,-0.0217893739155031,-0.102633024124602,-0.129829836888486,-0.0737086704873227,-0.0470789237713998,-0.156069508812538,-0.12588329497091,-0.287428657391935,-0.0205124341307531
"T cells",-0.0464866604861673,0.00106345632915751,-0.0264477158772739,-0.0463580805388664,-0.0413127058365943,-0.003962530118784,-0.0111513384664336,0.00688334140439298,-0.0478968027600282,-0.0608129101646951,-0.0274106702681217,-0.021211851030578,-0.0351059323352256,-0.0257917005377514,-0.0972519352674084,0.0114347047832391
"Vascular Endothelial cells",0.065256649881186,0,0.0250472827144365,0.0881190044444635,0.0216876199215257,-0.00049400744316585,0.0124191505744389,0.00803272111674518,0.025492123220914,0.0634477921043919,0.0194436980129098,0.00733232355987426,0.0957584276302475,0.0527684802123371,0.14425360928347,0.00752713078934506
