"","AT2","Airway Epithelium","Alveolar Macrophages","Capillary cells","Dendritic cells","Fibroblasts and Protector cells","Granulocytes","Innate Lymphoid cells","Interstitial Macrophages","non classical Monocytes","classical Monocytes","Monocytes and M2 Macrophages","NKT cells","Plasma B cells","T cells","Vascular Endothelial cells"
"AT2",-0.0515210751020748,0.00528418382676437,-0.0065597484292553,-0.0778961782277909,-0.0147694287799311,-0.112829896562764,-0.128810706141139,-0.0236479601439524,-0.0433813185159446,-0.00927198366285583,-0.00454284579384461,-0.00382006896611434,-0.0147535299355996,-0.0357902703252712,-0.0499930231576665,-0.0169407734323225
"Airway Epithelium",0.0165737567388139,-0.00107493500884684,-8.11871872883164e-05,0.0227238669105898,-0.00286644339464351,0.0418020260545163,0.0263370270353495,0.0028429559611898,0.028748106332662,-7.07105798477573e-05,-0.00253650143474787,4.04536510460864e-05,-0.0049599827409567,0.0138463388674192,-0.00155545779505369,0.00505893237090151
"Alveolar Macrophages",0.0651931474351118,0.00453005816786523,0.00441779541782788,0.127473529307065,0.0135833447499238,0.160611064729999,0.141762581990656,0.0221287897355308,0.0498680691573805,0.0101900130305444,0.00668956168646128,0.00436124703833263,0.0221888717020241,0.0310801724273902,0.0402959584516831,0.0211305295378357
"Capillary cells",0.118017417184546,6.96483018883138e-06,0,0.188350839492598,0.00206893459511371,0.19712672560096,0.280375456389985,0.026782979808247,0.114905331812295,0.00176861534440957,0.00442844514532295,0.0011547336316362,0.0395078509026669,0.0617556371673799,0.0288585483063188,0.0498844382347155
"Dendritic cells",0.152686487904138,0.00345109072283994,0.000807807384024038,0.290182213038968,0.00453846131194759,0.301637483445702,0.317796619879168,0.0590115812184604,0.132308787412039,0.00869810091248298,0.00453075058717297,0.00282097231932457,0.024440420214399,0.0915482187607059,0.0690158700467341,0.0691696492324926
"Fibroblasts and Protector cells",0.132685929044496,0.0061831221701691,0,0.225013505435276,0,0.211469660789235,0.309717439700709,0.0414945776800013,0.1262656159505,0,0.00751672435651122,0,0.00687227064790333,0.0716746289847819,0.0275394521518289,0.0524073104306149
"Granulocytes",0.301578474490366,0.00287567406124415,0.045248199216362,0.292180560670218,0.0718486240273118,0.248594107331357,0.453488718730991,0.0689073888794537,0.224095731731352,0.0859638837027534,0.0247454496216106,0.00864529567184988,0.0922910855027062,0.131040141909256,0.192570645430978,0.0657233121467497
"Innate Lymphoid cells",0.0658210621170751,0.00254234874367736,0.00530403289864566,0.106425486523669,0.0142897555576247,0.117386515302637,0.165731558120713,0.00371283019052753,0.0566456392397139,0.00573167640765669,0.0185997751431823,0.00155420943551889,0.0142289405532373,0.0491137375207867,0.0169210908711709,0.0399210955370949
"Interstitial Macrophages",0.194672664185011,5.37389861930298e-05,0.00179538047156888,0.157822065458162,0.0365564211869629,0.181312017024505,0.291402714405978,0.0882673807401391,0.102505765202159,0,0.000441553060128549,0,0.0885551534200997,0.0941759089812213,0.0890311319281406,0.0781736513132987
"non classical Monocytes",-0.000826068955309455,-5.86884516153472e-05,-0.000394234075657716,-0.00267903170889707,2.73135793556725e-06,-0.00467794208982047,0.00259149306455342,0.000135723444279475,0.000200122031378938,-0.00139631914402192,0.000120427655748519,0,-3.70834043341837e-05,-1.84410103180829e-05,-0.0020148423428953,0.000992415138301629
"classical Monocytes",0.00817839218296298,0.002139498761008,0,0.00807005867042383,0,0.00765452518656299,0.0109257596290478,0.00082367228296723,0.00430200987912977,0,0,0,0,0.00319290380579934,0.000498086643543805,0.00163778610186683
"Monocytes and M2 Macrophages",0.0432028322897988,0,0,0.0935413988751616,0,0.146455925054253,0.169026977882291,0.0152173943110402,0.0553119168634493,0,0.00182405327049574,0,0.00120300381944225,0.0414641395801678,0.0189942710997884,0.022774277176493
"NKT cells",0.0899445680989509,0.00364949386146836,-0.000149669662317589,0.113303114964776,0.00782461933001528,0.112147597530617,0.160130533790796,0.0206874323640481,0.0561479413824037,0.00169781049099724,0.0152826167032554,-0.000183090694129017,0.0218704010683564,0.0587886475430618,0.0284377283982555,0.0320473588414794
"Plasma B cells",-0.0213558964074691,-0.00118338771479518,-0.0024323195065328,-0.0269618934988894,-0.00138212450473393,-0.0329614602550947,-0.0344818575553246,-0.0037348681716579,-0.0147315280515915,-0.00272163076204146,-0.00194517185151484,-0.00211544560579638,-0.00564511395038142,-0.00928213563206442,-0.0092247884967173,-0.00553788821180551
"T cells",-9.36812115535559e-05,-0.00152181724015936,-0.000511404639522738,0.00279900683646455,-0.00233571266598893,0.00360524705090864,-0.000102411646282537,-0.00156075491942386,0.000315656841947424,-0.000484369420724749,-0.00121710683728214,-0.000240502224267923,-0.000471109321229031,0.000452494826439677,-0.00147797740710972,-0.000699940397922897
"Vascular Endothelial cells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
