"Ligand"	"TargetGenes"	"Cell"
"Cdh6"	"Tpgs1, Nkd1, Ftsj3, Stt3a, Psmb5"	"AT2"
"Cdh9"	"Tpgs1, Nkd1, Ftsj3, Stt3a, Psmb5"	"AT2"
"Fgf23"	"Lct, Sftpd, Gjb6, Bex4, Lgals3bp"	"AT2"
"Ins2"	"Tuba8, Slc15a2, Ppip5k1, Fap, Pex11a"	"AT2"
"Mpz"	"B230118H07Rik, BC024978, X3110040N11Rik"	"AT2"
"Ccl12"	"Muc5ac"	"Airway Epithelium"
"Egf"	"Muc5ac, Lcn2, Cp, Rbl1, Cab39l"	"Airway Epithelium"
"Fgf23"	"Reg3g, Bpifb1, Cp, Lgals3bp, Wfdc2"	"Airway Epithelium"
"Mmp9"	"Muc5ac"	"Airway Epithelium"
"Tnf"	"Muc5ac, Cp, Irf7, Cfb, Muc5b"	"Airway Epithelium"
"Ccl12"	"Sdhb, Sod1, Timp1, Ptma, Fkbp5"	"Alveolar Macrophages"
"Ebi3"	"Irf9, Stat2, Tap1, Ifit3, Irf7"	"Alveolar Macrophages"
"Hmgb2"	"Ube2c, Aurka, Mki67, Ccnb2, Brip1"	"Alveolar Macrophages"
"Ifnk"	"Irf9, Ifit3, Stat2, Tap1, Ptma"	"Alveolar Macrophages"
"Il27"	"Irf9, Tap1, Stat2, Psme2, Ifit3"	"Alveolar Macrophages"
"Ebi3"	"Irf9, Cish, Socs3, Cdkn1a, Rnf213"	"Capillary cells"
"Ifnk"	"Irf9, Cish, Socs3, Ifit3, Ddit4"	"Capillary cells"
"Il21"	"Socs3, Rsad2, Timp3, Rin2, Tlr3"	"Capillary cells"
"Il27"	"Socs3, Irf9, Cish, Il18bp, Ifit3"	"Capillary cells"
"Pdcd1lg2"	"Cdkn1a, Nfkbia, Id1, Socs3, Ddit4"	"Capillary cells"
"Ebi3"	"X1810022K09Rik, Tap1, Myo1g, Psmb9, Ccnd2"	"Dendritic cells"
"Has2"	"Traf1, Il4i1, Tap1, Rel, B2m"	"Dendritic cells"
"Ifnk"	"X1810022K09Rik, Psmb9, Tap1, Irf7, Isg15"	"Dendritic cells"
"Il1rn"	"Casp3, Pfn1, Eno3, Ccl5, Fkbp5"	"Dendritic cells"
"Il27"	"Tap1, X1810022K09Rik, Psmb9, Psme2, B2m"	"Dendritic cells"
"Ebi3"	"Rnf213, Ifit3, Bst2, Isg15, Ifitm3"	"Fibroblasts and Protector cells"
"Ifnk"	"Ifit3, Isg15, Rnf213, Bst2, Ifitm3"	"Fibroblasts and Protector cells"
"Il13"	"Il33"	"Fibroblasts and Protector cells"
"Il27"	"Ifit3, Bst2, Isg15, Rnf213, Ifitm3"	"Fibroblasts and Protector cells"
"Tgfb2"	"Gbp3, Il33"	"Fibroblasts and Protector cells"
"Ebi3"	"Irf9, Cish, Socs3, Osm, Stat2"	"Granulocytes"
"Ifng"	"Ccl3, Tlr4, Tlr2, Ccl4, Psmb8"	"Granulocytes"
"Ifnk"	"Irf9, Cish, Socs3, Ifit3, Stat2"	"Granulocytes"
"Il12a"	"Ccl3, Ccl4, Socs3, Cish, Irf9"	"Granulocytes"
"Il27"	"Socs3, Irf9, Cish, Osm, Stat2"	"Granulocytes"
"Ebi3"	"Irf9, Stat1, Psmb9, Gzmb, Ifit3"	"Innate Lymphoid cells"
"Ifnk"	"Irf9, Stat1, Ifit3, Psmb9, Irf7"	"Innate Lymphoid cells"
"Il12a"	"Gzmb, Irf9, Stat1, Batf, Psmb9"	"Innate Lymphoid cells"
"Il12b"	"Gzmb, Irf9, Stat1, Batf, Abcb1a"	"Innate Lymphoid cells"
"Il27"	"Irf9, Gzmb, Stat1, Psmb9, Ifit3"	"Innate Lymphoid cells"
"Adipoq"	"Fth1, Cxcl10, Hmox1, Vcam1, Cdkn1a"	"Interstitial Macrophages"
"Ifng"	"Cxcl10, Vcam1, Arg1, Spp1, Cdkn1a"	"Interstitial Macrophages"
"Il13"	"Ccl7, Arg1, Vcam1, Hmox1, Il1rn"	"Interstitial Macrophages"
"Il4"	"Arg1, Il1rn, Vcam1, Hmox1, Il4ra"	"Interstitial Macrophages"
"Tnf"	"Vcam1, Il1rn, Cd38, Ccl7, Cyba"	"Interstitial Macrophages"
"Ifng"	"Casp1, Ccr5, Cd86, Ccl4, Psmb8"	"Monocytes and M2 Macrophages"
"Ifnk"	"Socs3, Stat1, Ifit3, Stat2, Parp14"	"Monocytes and M2 Macrophages"
"Il18"	"Ccr5, Socs3, Cd86, Cd40, Il1b"	"Monocytes and M2 Macrophages"
"Il27"	"Socs3, Tap1, Cd86, Stat1, Stat2"	"Monocytes and M2 Macrophages"
"Il4"	"Cysltr1, Arg1, Il1rn, Cd86, F13a1"	"Monocytes and M2 Macrophages"
"Hmgb2"	"Ube2c, Ncapg, Mki67, Ccnb2, Top2a"	"NKT cells"
"Il12a"	"Gzmb, Gzma, Fasl, Ccr5, Ifng"	"NKT cells"
"Il12b"	"Gzmb, Gzma, Fasl, Ifng, Ccr5"	"NKT cells"
"Il18"	"Ccr5, Ifng, Il10, Fasl, Gzmb"	"NKT cells"
"Il27"	"Ifng, Irf9, Gzmb, Tap1, X1810022K09Rik"	"NKT cells"
